,Date,Open,Close,High,Low,Volume
273,2019-10-14,234.9,235.87,238.13,234.67,24413484
274,2019-10-15,236.39,235.32,237.65,234.88,23040483
275,2019-10-16,233.37,234.37,235.24,233.2,19286694
276,2019-10-17,235.09,235.28,236.15,233.52,17272897
277,2019-10-18,234.59,236.41,237.58,234.29,24377166
278,2019-10-21,237.52,240.51,240.99,237.32,22367483
279,2019-10-22,241.16,239.96,242.2,239.62,22684001
280,2019-10-23,242.1,243.18,243.24,241.22,19932545
281,2019-10-24,244.51,243.58,244.8,241.81,17916255
282,2019-10-25,243.16,246.58,246.73,242.88,18369296
283,2019-10-28,247.42,249.05,249.25,246.72,24143241
284,2019-10-29,248.97,243.29,249.75,242.57,35709867
285,2019-10-30,244.76,243.26,245.3,241.21,31130522
286,2019-10-31,247.24,248.76,249.17,237.26,34790520
287,2019-11-01,249.54,255.82,255.93,249.16,37781334
288,2019-11-04,257.33,257.5,257.85,255.38,25817952
289,2019-11-05,257.05,257.13,258.19,256.32,19974427
290,2019-11-06,256.77,257.24,257.49,255.37,18966124
291,2019-11-07,258.74,259.43,260.35,258.11,23735083
292,2019-11-08,258.69,260.14,260.44,256.85,17520495
293,2019-11-11,258.3,262.2,262.47,258.28,20507459
294,2019-11-12,261.55,261.96,262.79,260.92,21847226
295,2019-11-13,261.13,264.47,264.78,261.07,25817593
296,2019-11-14,263.75,262.64,264.88,262.1,22395556
297,2019-11-15,263.68,265.76,265.78,263.01,25093666
298,2019-11-18,265.8,267.1,267.43,264.23,21700897
299,2019-11-19,267.9,266.29,268.0,265.39,19069597
300,2019-11-20,265.54,263.19,266.08,260.4,26609919
301,2019-11-21,263.69,262.01,264.01,261.18,30348778
302,2019-11-22,262.59,261.78,263.18,260.84,16331263
303,2019-11-25,262.71,266.37,266.44,262.52,21029517
304,2019-11-26,266.94,264.29,267.16,262.5,26334882
305,2019-11-27,265.58,267.84,267.98,265.31,16386122
306,2019-11-29,266.6,267.25,268.0,265.9,11654363
307,2019-12-02,267.27,264.16,268.25,263.45,23693550
308,2019-12-03,258.31,259.45,259.53,256.29,29377268
309,2019-12-04,261.07,261.74,263.31,260.68,16810388
310,2019-12-05,263.79,265.58,265.89,262.73,18661343
311,2019-12-06,267.48,270.71,271.0,267.3,26547493
312,2019-12-09,270.0,266.92,270.8,264.91,32182645
313,2019-12-10,268.6,268.48,270.07,265.86,22632383
314,2019-12-11,268.81,270.77,271.1,268.5,19723391
315,2019-12-12,267.78,271.46,272.56,267.32,34437042
316,2019-12-13,271.46,275.15,275.3,270.93,33432806
317,2019-12-16,277.0,279.86,280.79,276.98,32081105
318,2019-12-17,279.57,280.41,281.77,278.8,28575798
319,2019-12-18,279.8,279.74,281.9,279.12,29024687
320,2019-12-19,279.5,280.02,281.18,278.95,24626947
321,2019-12-20,282.23,279.44,282.65,278.56,69032743
322,2019-12-23,280.53,284.0,284.25,280.37,24677883
323,2019-12-24,284.69,284.27,284.89,282.92,12119714
324,2019-12-26,284.82,289.91,289.98,284.7,23334004
325,2019-12-27,291.12,289.8,293.97,288.12,36592936
326,2019-12-30,289.46,291.52,292.69,285.22,36059614
327,2019-12-31,289.93,293.65,293.68,289.52,25247625
328,2020-01-02,296.24,300.35,300.6,295.19,33911864
329,2020-01-03,297.15,297.43,300.58,296.5,36633878
330,2020-01-06,293.79,299.8,299.96,292.75,29644644
331,2020-01-07,299.84,298.39,300.9,297.48,27877655
332,2020-01-08,297.16,303.19,304.44,297.16,33090946
333,2020-01-09,307.24,309.63,310.43,306.2,42621542
334,2020-01-10,310.6,310.33,312.67,308.25,35217272
335,2020-01-13,311.64,316.96,317.07,311.15,30521722
336,2020-01-14,316.7,312.68,317.57,312.17,40653457
337,2020-01-15,311.85,311.34,315.5,309.55,30480882
338,2020-01-16,313.59,315.24,315.7,312.09,27207254
339,2020-01-17,316.27,318.73,318.74,315.0,34454117
340,2020-01-21,317.19,316.57,319.02,316.0,27710814
341,2020-01-22,318.58,317.7,319.99,317.31,25458115
342,2020-01-23,317.92,319.23,319.56,315.65,26117993
343,2020-01-24,320.25,318.31,323.33,317.52,36634380
344,2020-01-27,310.06,308.95,311.77,304.88,40485005
345,2020-01-28,312.6,317.69,318.4,312.19,40558486
346,2020-01-29,324.45,324.34,327.85,321.38,54149928
347,2020-01-30,320.54,323.87,324.09,318.75,31685808
348,2020-01-31,320.93,309.51,322.68,308.29,49897096
349,2020-02-03,304.3,308.66,313.49,302.22,43496401
350,2020-02-04,315.31,318.85,319.64,313.63,34154134
351,2020-02-05,323.52,321.45,324.76,318.95,29706718
352,2020-02-06,322.57,325.21,325.22,320.26,26356385
353,2020-02-07,322.37,320.03,323.4,318.0,29421012
354,2020-02-10,314.18,321.55,321.55,313.85,27337215
355,2020-02-11,323.6,319.61,323.9,318.71,23580780
356,2020-02-12,321.47,327.2,327.22,321.47,28432573
357,2020-02-13,324.19,324.87,326.22,323.35,23686892
358,2020-02-14,324.74,324.95,325.98,322.85,20028447
359,2020-02-18,315.36,319.0,319.75,314.61,38190545
360,2020-02-19,320.0,323.62,324.57,320.0,23495991
